Çağrı No;Açılış Tarihi;Açan Birim;Birim/Şube;Servis;Ekran;Durum;2. Seviye Kullanıcı Destek Çözen/Yönlendiren;Atanan TM;Çözüm Kodu;Çözüm Tarihi
140916107;26.09.2025 09:39;Bağcılar İstanbul Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Plato Limit Risk Eşleştir;Çözüldü/Kapalı;Yavuz;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;29.09.2025 11:30
140916929;26.09.2025 09:42;Aksu Antalya Şubesi;Şube;Kredi Teminat Yönetimi Servisi;TKD Teminat Listeleme;Çözüldü/Kapalı;İbrahim;2. Seviye Kullanıcı Destek;İş Birimleri ile İlgili/İş Kuralı;26.09.2025 10:23
140918266;26.09.2025 09:45;Melikgazi/Kayseri Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Plato Limit Risk Eşleştir;Çözüldü/Kapalı;Yavuz;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;26.09.2025 17:26
140919030;26.09.2025 09:49;Müşteri Analitiği ve Kampanya Yönetimi Müdürlüğü;Birim;CRM Servisi;Müşteri kampanya kanal ve ürün tercihi;Çözüldü/Kapalı;Akif;UPY.Fraud ve Kampanya Yönetimi;Yaygınlaştırma Kaynaklı;29.09.2025 16:46
140920294;26.09.2025 09:50;Sapanca Sakarya Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Plato Limit Risk Eşleştir;Çözüldü/Kapalı;Nursema;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;26.09.2025 11:30
140922299;26.09.2025 09:50;Selimiye-Edirne Şubesi;Şube;Bireysel Krediler Servisi;Bireysel Yapılandırma Kredisi Kullandırım;Çözüldü/Kapalı;Tuğba;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;26.09.2025 14:22
140924344;26.09.2025 09:55;Fırat/Elazığ Şubesi;Şube;Kredi Kartları Yönetimi Servisi;Tarım Kart Başvuru Giriş  ;Çözüldü/Kapalı;İbrahim;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;26.09.2025 11:28
140924798;26.09.2025 09:55;Bostancı Şubesi;Şube;Ticari Krediler Servisi;TKD Kullandırım Talebi Girişi;Çözüldü/Kapalı;Tuğba;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;26.09.2025 16:04
140929876;26.09.2025 10:07;Besni Adıyaman Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Ticari Kredi Başvurusu Yap;Çözüldü/Kapalı;Akif;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;29.09.2025 09:16
140930444;26.09.2025 10:03;Kocamustafapaşa İstanbul Şubesi;Şube;Skorlama Servisi;Ticari Otomatik İstihbarat Yap TKD;Çözüldü/Kapalı;Tuğba;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;26.09.2025 15:36
